######################## ######################## ######################## ######################## ######################## ######################## ########################
# Radius (arcsec)	 Intensity B7 (Jy/sr)     Intensity B6 (Jy/sr)     Intensity B3 (Jy/sr)     Error Int B7 (Jy/sr)     Error Int B6 (Jy/sr)     Error Int B3 (Jy/sr)
######################## ######################## ######################## ######################## ######################## ######################## ########################
3.196213178478846673e-01 7.489296495282471657e+09 1.702504445707390070e+09 1.025718341989287287e+08 2.278281891166591644e+07 1.410189086074161530e+07 5.520770172408548184e+06
3.240147171406179694e-01 7.679983881381258965e+09 1.731897312840544224e+09 9.983490291256611049e+07 2.269042278374958038e+07 1.395402941843557358e+07 5.315156160256830044e+06
3.284081167108138799e-01 7.914001291624260902e+09 1.780155286775575638e+09 9.867475049842232466e+07 2.263761894285011292e+07 1.387049676595139503e+07 5.154921847084315494e+06
3.328015165474841330e-01 8.189956829345308304e+09 1.851665012756173372e+09 9.926923462715178728e+07 2.262436761852264404e+07 1.385617715857028961e+07 5.045925883091481403e+06
3.371949166402133935e-01 8.507384758114861488e+09 1.947517324338999748e+09 1.018420449643913358e+08 2.264867433722496033e+07 1.391533505031061172e+07 4.992584324658936821e+06
3.415883169791221197e-01 8.879000529015880585e+09 2.067972650289598703e+09 1.066912430990435481e+08 2.271189357621383667e+07 1.404462384192824364e+07 4.998250559380344115e+06
3.459817175548322576e-01 9.307163159797481537e+09 2.222116462495981693e+09 1.142201196545321196e+08 2.281577735361862183e+07 1.425035020213031769e+07 5.065478836834623478e+06
3.503751183584362661e-01 9.789123478807874680e+09 2.414867528359572887e+09 1.249708332440685034e+08 2.296095614087486267e+07 1.453475394544792175e+07 5.196092661904512905e+06
3.547685193814680837e-01 1.032893919472070312e+10 2.644898658720259666e+09 1.396604026720878780e+08 2.314888405119705200e+07 1.488835807741069794e+07 5.391015891745344736e+06
3.591619206158753741e-01 1.093271158762757683e+10 2.919815377498556614e+09 1.592166680466481447e+08 2.338218737620925903e+07 1.531306658300018311e+07 5.649867958056860603e+06
3.635553220539954333e-01 1.158455742844916725e+10 3.245685913422021866e+09 1.848084863388379216e+08 2.365332748775482178e+07 1.580754888332176208e+07 5.970389102880300954e+06
3.679487236885312651e-01 1.226737823418380165e+10 3.624487314053648949e+09 2.178594336385782361e+08 2.395161314291000366e+07 1.636345304283046722e+07 6.347858259432070889e+06
3.723421255125304863e-01 1.301377870237627220e+10 4.054515060685946941e+09 2.600278081219812334e+08 2.428707553186798096e+07 1.696741081669569016e+07 6.774789234217174351e+06
3.767355275193646769e-01 1.381351823407721901e+10 4.528218785716786385e+09 3.131288678572714925e+08 2.464976292423629761e+07 1.760072373648929596e+07 7.241292951622998342e+06
3.811289297027115053e-01 1.463232571988409424e+10 5.059836786881821632e+09 3.789706994540942907e+08 2.501718134048652649e+07 1.827429703423118591e+07 7.736460894771594554e+06
3.855223320565362988e-01 1.546763106166552544e+10 5.646863342267185211e+09 4.590776065117777586e+08 2.538082899738311768e+07 1.897788366018486023e+07 8.250781193019401282e+06
3.899157345750768888e-01 1.632609313916252136e+10 6.265559247347053528e+09 5.542905814012527466e+08 2.573574244792938232e+07 1.967826801991081238e+07 8.778807458693107590e+06
3.943091372528273464e-01 1.717391139854322243e+10 6.908748757490280151e+09 6.642684483349400759e+08 2.606092148174095154e+07 2.036598147540187836e+07 9.320241414473088458e+06
3.987025400845248813e-01 1.797481610956311417e+10 7.574365338045507431e+09 7.869652015589305162e+08 2.633875238549041748e+07 2.103650552413082123e+07 9.877117847443621606e+06
4.030959430651360198e-01 1.874685958107102966e+10 8.227766059993819237e+09 9.182174181401400566e+08 2.657305287385177612e+07 2.165391282854175568e+07 1.044626623656724766e+07
4.074893461898440594e-01 1.947454487575324631e+10 8.838552550112827301e+09 1.051615473739329815e+09 2.675694157606887817e+07 2.219063394805526733e+07 1.101003076830829866e+07
4.118827494540384104e-01 2.011799312980958176e+10 9.404911071367341995e+09 1.178821152748121262e+09 2.688065256591796875e+07 2.264536865771675110e+07 1.153171650652546436e+07
4.162761528533022726e-01 2.066220210666355896e+10 9.904034339978256226e+09 1.290408556442023277e+09 2.694544242811203003e+07 2.299829350007057190e+07 1.196108070034873299e+07
4.206695563834041973e-01 2.110153343084578323e+10 1.030634704482024384e+10 1.377151584096342325e+09 2.695414863410568237e+07 2.322705919779205322e+07 1.224881897148794681e+07
4.250629600402871522e-01 2.142308811829122162e+10 1.059913074791648674e+10 1.431507906173349857e+09 2.690934889662933350e+07 2.332625788281250000e+07 1.236256629359901138e+07
4.294563638200603051e-01 2.161928512778356171e+10 1.077324447993771362e+10 1.448932847180454493e+09 2.681493481572341919e+07 2.329160613412284851e+07 1.229587727945828624e+07
4.338497677189903645e-01 2.169038826220886230e+10 1.082193313416472626e+10 1.428663513570216656e+09 2.666961911153411865e+07 2.312553954953002930e+07 1.206638053268951736e+07
4.382431717334938082e-01 2.163276401332706451e+10 1.074440624895595741e+10 1.373757905410050631e+09 2.647527280381774902e+07 2.283723441350936890e+07 1.170590012220996991e+07
4.426365758601292222e-01 2.145107809812916946e+10 1.054942344785960579e+10 1.290401381031078815e+09 2.623524322464370728e+07 2.243899879509544373e+07 1.124918862124040350e+07
4.470299800955907510e-01 2.115449719983630371e+10 1.024739528086940765e+10 1.186707346163317204e+09 2.594840153563690186e+07 2.194473632330131531e+07 1.072685021135392040e+07
4.514233844367009918e-01 2.074833504773178864e+10 9.856024932714868546e+09 1.071354689597647071e+09 2.561116518858337402e+07 2.137327390210914612e+07 1.016373043338790722e+07
4.558167888804050549e-01 2.025342916630506516e+10 9.399809072289062500e+09 9.523898438166154623e+08 2.523114346105194092e+07 2.074883205825614929e+07 9.580404615984352306e+06
4.602101934237648462e-01 1.969859552672905731e+10 8.895534777421937943e+09 8.364068147006784678e+08 2.482112971722793579e+07 2.008232490292930603e+07 8.994806781174814329e+06
4.646035980639533491e-01 1.907405264308789444e+10 8.354232815757517815e+09 7.281689968051902056e+08 2.436680921178436279e+07 1.937750321415233612e+07 8.422669679704817012e+06
4.689970027982493517e-01 1.839826074036840820e+10 7.793115268234887123e+09 6.306129009648941755e+08 2.387659191797637939e+07 1.864675967931079865e+07 7.877087481883877888e+06
4.733904076240327830e-01 1.770478748431237793e+10 7.247674143369812965e+09 5.451076579636723995e+08 2.337135909085083008e+07 1.792818025878334045e+07 7.368020231897884049e+06
4.777838125387799950e-01 1.700559981682012558e+10 6.719631403047552109e+09 4.718348768814934492e+08 2.285813004924964905e+07 1.721846453166198730e+07 6.902220485553651117e+06
4.821772175400589888e-01 1.631912039285943794e+10 6.207895230770123482e+09 4.101813160361053944e+08 2.235009602589607239e+07 1.651290375605773926e+07 6.483590241402064450e+06
4.865706226255259725e-01 1.564046767248446465e+10 5.740171041316593170e+09 3.590783429633904099e+08 2.184416513049697876e+07 1.584891149772930145e+07 6.113750520373922773e+06
4.909640277929210872e-01 1.498526822007325935e+10 5.322988414425535202e+09 3.172601823541764617e+08 2.135305330403709412e+07 1.523879031336116791e+07 5.792618051376931369e+06
4.953574330400644099e-01 1.437302454541421127e+10 4.938790378180815697e+09 2.834395100638673902e+08 2.089278428160667419e+07 1.465998848668766022e+07 5.518884872434244491e+06
4.997508383648525121e-01 1.379672271151090431e+10 4.591192732345280647e+09 2.564132391943172514e+08 2.045949942858886719e+07 1.412132507130908966e+07 5.290380854548236355e+06
5.041442437652555730e-01 1.327102060636008072e+10 4.293896598868790627e+09 2.351162414954153299e+08 2.006541633587837219e+07 1.364838836636447906e+07 5.104337865722408518e+06
5.085376492393141046e-01 1.280321893173325539e+10 4.041315594787712574e+09 2.186400041402688026e+08 1.971680098938560486e+07 1.323732512916469574e+07 4.957581411708903499e+06
5.129310547851352320e-01 1.238604743043093872e+10 3.825775230211413383e+09 2.062299362616751790e+08 1.940861266033744812e+07 1.287954102158975601e+07 4.846671035469352268e+06
5.173244604008906400e-01 1.201843514310526276e+10 3.645850025996814728e+09 1.972712019656668603e+08 1.914008773411941528e+07 1.257564246622371674e+07 4.768005884103227407e+06
5.217178660848138527e-01 1.170482051515342903e+10 3.504032975394093990e+09 1.912695779610612392e+08 1.891403959634590149e+07 1.233229180372714996e+07 4.717909606676682830e+06
5.261112718351969031e-01 1.144876914152714348e+10 3.395743036742624760e+09 1.878312666417689025e+08 1.873205120050239563e+07 1.214334128572988510e+07 4.692707957144798711e+06
5.305046776503886674e-01 1.124300529450586319e+10 3.315456538274269104e+09 1.866438331761574447e+08 1.858763349568557739e+07 1.200002282864332199e+07 4.688811094662250951e+06
5.348980835287924229e-01 1.108550338008184814e+10 3.263751834564332008e+09 1.874593215855534375e+08 1.847779780500030518e+07 1.190355128933191299e+07 4.702809103299213573e+06
5.392914894688630723e-01 1.097957303220558548e+10 3.238632577310427666e+09 1.900799512175697982e+08 1.840308816323280334e+07 1.185032944246292114e+07 4.731583128363524564e+06
5.436848954691058111e-01 1.091835202502253342e+10 3.237999158347380161e+09 1.943464347286993861e+08 1.835687537521362305e+07 1.183611540488195419e+07 4.772426162054753862e+06
5.480783015280736858e-01 1.089926548382322121e+10 3.260600142215535641e+09 2.001287649535475969e+08 1.833540365201377869e+07 1.185797440224456787e+07 4.823158299619871192e+06
5.524717076443657060e-01 1.092142447761035728e+10 3.305012348916159630e+09 2.073192052078774571e+08 1.833652879753684998e+07 1.191308667386770248e+07 4.882213517512951046e+06
5.568651138166249570e-01 1.098061675067584801e+10 3.369490291047318459e+09 2.158271355210608840e+08 1.835619307160949707e+07 1.199818430775260925e+07 4.948671548791648820e+06
5.612585200435372679e-01 1.107270351591780281e+10 3.452590306495795250e+09 2.255753339229993522e+08 1.839088969207763672e+07 1.211071930388307571e+07 5.022211938023094088e+06
5.656519263238292128e-01 1.119485178474596405e+10 3.554116750463431835e+09 2.364972052527709007e+08 1.843815438348579407e+07 1.225019972432136536e+07 5.102979264635525644e+06
5.700453326562665568e-01 1.134029457592066956e+10 3.671570569372426033e+09 2.485344199597274959e+08 1.849454309069442749e+07 1.241322176626825333e+07 5.191367735553467646e+06
5.744387390396529236e-01 1.150697643353784561e+10 3.801453813499795437e+09 2.616344065162613094e+08 1.855896491436576843e+07 1.259506072713804245e+07 5.287755526468979195e+06
5.788321454728281301e-01 1.169515982703000069e+10 3.946385515585827351e+09 2.757471661247978806e+08 1.863167251169967651e+07 1.279953718207168579e+07 5.392237382946294732e+06
5.832255519546671874e-01 1.189313074518310928e+10 4.104191823505151272e+09 2.908209551405464411e+08 1.870863974029731750e+07 1.302359049475049973e+07 5.504410739491502754e+06
5.876189584840783020e-01 1.209436482532707024e+10 4.266408930195601940e+09 3.067965110898591876e+08 1.878798423422431946e+07 1.325477404579305649e+07 5.623261754868356511e+06
5.920123650600025433e-01 1.229707479389261246e+10 4.432210943182349205e+09 3.235996804798550010e+08 1.886963391555976868e+07 1.349101016302013397e+07 5.747174682398553938e+06
5.964057716814119559e-01 1.249476720309210968e+10 4.602211474206856728e+09 3.411325374087803960e+08 1.895146417368888855e+07 1.373185368783664703e+07 5.874057831780791283e+06
6.007991783473088931e-01 1.268356781639720345e+10 4.772221162484685898e+09 3.592633574897817969e+08 1.903204885181808472e+07 1.396964394376945496e+07 6.001551166285539046e+06
6.051925850567241305e-01 1.285669893475804520e+10 4.935083499996135712e+09 3.778161256235107780e+08 1.910826987362670898e+07 1.419264308766460419e+07 6.127261630314674228e+06
6.095859918087171980e-01 1.301082779411206245e+10 5.087879303312788010e+09 3.965605948780379295e+08 1.917804988527297974e+07 1.439553540672969818e+07 6.248966096664831042e+06
6.139793986023736050e-01 1.313957723640464211e+10 5.230034687139487267e+09 4.152042477623260021e+08 1.923752396353340149e+07 1.457662113326549530e+07 6.364728795777543448e+06
6.183728054368057281e-01 1.323785688739858055e+10 5.356600161116468430e+09 4.333877882259384394e+08 1.928314607227897644e+07 1.472940463800907135e+07 6.472899569887642749e+06
6.227662123111505910e-01 1.330522681594313049e+10 5.462615183994461060e+09 4.506859347389330268e+08 1.931351462290000916e+07 1.484890452215671539e+07 6.571990117526395246e+06
6.271596192245689760e-01 1.333843107205378342e+10 5.545630772715209961e+09 4.666151945405157208e+08 1.932603781676483154e+07 1.493467763684844971e+07 6.660464069172650576e+06
6.315530261762458686e-01 1.333527249054154015e+10 5.604633362589743614e+09 4.806498800186392069e+08 1.931901446206474304e+07 1.498833192467975616e+07 6.736514555418246426e+06
6.359464331653883473e-01 1.329583105168243217e+10 5.636977928587967873e+09 4.922468174671294689e+08 1.929232047879219055e+07 1.501046674440193176e+07 6.797925349009284750e+06
6.403398401912250293e-01 1.321887201657805634e+10 5.640885029860701561e+09 5.008780083415617347e+08 1.924524896743202209e+07 1.500278545337200165e+07 6.842103037778456695e+06
6.447332472530058478e-01 1.310455433740214920e+10 5.617237564589350700e+09 5.060690560885350108e+08 1.917833569078063965e+07 1.496873376360893250e+07 6.866320851420625113e+06
6.491266543500011643e-01 1.295797160852581215e+10 5.565974950235258102e+09 5.074397120941601396e+08 1.909497924612808228e+07 1.490948803720855713e+07 6.868139744500127621e+06
6.535200614815005471e-01 1.278087468111879539e+10 5.488116459904154778e+09 5.047417592628362775e+08 1.899648012317466736e+07 1.482611139287662506e+07 6.845896601941154338e+06
6.579134686468129933e-01 1.257144622408057213e+10 5.387026003009777069e+09 4.978889940681729913e+08 1.888200425387763977e+07 1.472068523080348969e+07 6.799106896462513134e+06
6.623068758452654858e-01 1.233563424715190125e+10 5.263140838225069046e+09 4.869745467365283370e+08 1.875462224426078796e+07 1.459111973099994659e+07 6.728643265539572574e+06
6.667002830762026599e-01 1.208271147365331841e+10 5.117393508367851257e+09 4.722722517413636446e+08 1.861869473268508911e+07 1.443518532440090179e+07 6.636622230982640758e+06
6.710936903389870256e-01 1.180773712912120628e+10 4.957247991796463966e+09 4.542210417837206721e+08 1.847055028103446960e+07 1.425763886778259277e+07 6.526032818398467265e+06
6.754870976329966359e-01 1.151544257974088287e+10 4.788158906262412071e+09 4.333939433273500204e+08 1.831142699894905090e+07 1.406223061998271942e+07 6.400231406772303395e+06
6.798805049576266413e-01 1.121977552806196785e+10 4.608825352658053398e+09 4.104556285124512315e+08 1.814758244300460815e+07 1.384587859601497650e+07 6.262467543093086220e+06
6.842739123122869582e-01 1.091652920669630432e+10 4.421980524394494057e+09 3.861140946595246196e+08 1.797551320960044861e+07 1.361113238431930542e+07 6.115578543623428792e+06
